Filesystem            Size Used Avail Use% Mounted on
/dev/block/dm-0       3.1G 2.9G  206M  94% /
tmpfs                 1.8G 3.0M  1.8G   1% /dev
tmpfs                 1.8G    0  1.8G   0% /mnt
/dev/block/mmcblk0p21  10M 128K  9.3M   2% /metadata
/dev/block/dm-2       108M 108M     0 100% /vendor
/dev/block/dm-3        14M  14M     0 100% /vendor_dlkm
tmpfs                 1.8G  16K  1.8G   1% /apex
tmpfs                 1.8G 4.0K  1.8G   1% /bootstrap-apex
tmpfs                 1.8G 864K  1.8G   1% /linkerconfig
/dev/block/loop3       45M  45M     0 100% /bootstrap-apex/com.android.vndk.v33@1
/dev/block/loop1      760K 732K   16K  98% /bootstrap-apex/com.android.tzdata@350090000
/dev/block/loop2       38M  38M     0 100% /bootstrap-apex/com.android.i18n@1
/dev/block/loop0       10M  10M     0 100% /bootstrap-apex/com.android.runtime@1
tmpfs                 1.8G    0  1.8G   0% /tmp
none                  1.8G 716K  1.8G   1% /mnt/phh
/dev/block/dm-43       54G  23G   31G  43% /data
/dev/block/loop4       40M  40M     0 100% /apex/com.android.vndk.v34@1
/dev/block/loop10      45M  45M     0 100% /apex/com.android.vndk.v33@1
/dev/block/loop5      3.0M 3.0M     0 100% /apex/com.android.compos@2
/dev/block/loop8       38M  38M     0 100% /apex/com.android.i18n@1
/dev/block/loop14      11M  11M     0 100% /apex/com.android.healthfitness@350090000
/dev/block/loop11     3.6M 3.6M     0 100% /apex/com.android.os.statsd@350090000
/dev/block/loop13      10M  10M     0 100% /apex/com.android.runtime@1
/dev/block/loop9      1.1M 1.1M  8.0K 100% /apex/com.android.rkpd@350090000
/dev/block/dm-16      5.7M 5.7M     0 100% /apex/com.android.conscrypt@350090000
/dev/block/loop12     108M 108M     0 100% /apex/com.android.vndk.v30@1
/dev/block/loop16      70M  70M     0 100% /apex/com.android.virt@2
/dev/block/loop15     760K 732K   16K  98% /apex/com.android.tzdata@350090000
/dev/block/loop7       39M  39M     0 100% /apex/com.android.vndk.v31@1
/dev/block/loop18      98M  98M     0 100% /apex/com.android.vndk.v29@1
/dev/block/loop17      21M  21M     0 100% /apex/com.android.btservices@350090000
/dev/block/loop20      89M  89M     0 100% /apex/com.android.vndk.v28@1
/dev/block/loop21      40M  39M     0 100% /apex/com.android.vndk.v32@1
/dev/block/dm-42      3.7M 3.7M     0 100% /apex/com.android.appsearch@350090000
/dev/block/loop19     704K 676K   16K  98% /apex/com.android.sdkext@350090000
/dev/block/loop22     232K  96K  132K  43% /apex/com.android.apex.cts.shim@1
/dev/block/dm-30      7.4M 7.3M     0 100% /apex/com.android.neuralnetworks@350090000
/dev/block/dm-38       41M  41M     0 100% /apex/com.android.art@350090000
/dev/block/dm-40       22M  22M     0 100% /apex/com.android.permission@350090000
/dev/block/dm-37      756K 728K   16K  98% /apex/com.android.ipsec@350090000
/dev/block/dm-35       20M  20M     0 100% /apex/com.android.tethering@350090000
/dev/block/dm-33       21M  21M     0 100% /apex/com.android.adservices@350090000
/dev/block/dm-29       17M  17M     0 100% /apex/com.android.cellbroadcast@350090000
/dev/block/dm-27      6.1M 6.1M     0 100% /apex/com.android.media@350090000
/dev/block/dm-28       23M  23M     0 100% /apex/com.android.mediaprovider@350090000
/dev/block/dm-36       13M  13M     0 100% /apex/com.android.ondevicepersonalization@350090000
/dev/block/loop38     5.5M 5.4M     0 100% /apex/com.android.devicelock@1
/dev/block/dm-22       23M  23M     0 100% /apex/com.android.extservices@350090000
/dev/block/dm-21      4.0M 3.9M     0 100% /apex/com.android.resolv@350090000
/dev/block/dm-23      3.9M 3.9M     0 100% /apex/com.android.uwb@350090000
/dev/block/dm-17      552K 524K   20K  97% /apex/com.android.configinfrastructure@350090000
/dev/block/dm-13      8.6M 8.6M     0 100% /apex/com.android.wifi@350090000
/dev/block/dm-11      232K 104K  124K  46% /apex/com.android.scheduling@350090000
/dev/block/dm-7       7.7M 7.7M     0 100% /apex/com.android.adbd@350090000
/dev/block/dm-6        27M  27M     0 100% /apex/com.android.media.swcodec@350090000
/dev/fuse              54G  23G   31G  43% /storage/emulated
