MemTotal:        3879044 kB
MemFree:          131640 kB
MemAvailable:    2191432 kB
Buffers:            4312 kB
Cached:          2001800 kB
SwapCached:        29352 kB
Active:           743572 kB
Inactive:        1932880 kB
Active(anon):     118884 kB
Inactive(anon):   575812 kB
Active(file):     624688 kB
Inactive(file):  1357068 kB
Unevictable:        4072 kB
Mlocked:            4072 kB
SwapTotal:       2909276 kB
SwapFree:        2299740 kB
Dirty:              1564 kB
Writeback:             0 kB
AnonPages:        670552 kB
Mapped:           946752 kB
Shmem:             25248 kB
KReclaimable:     169380 kB
Slab:             249936 kB
SReclaimable:      91616 kB
SUnreclaim:       158320 kB
KernelStack:       31376 kB
ShadowCallStack:    7876 kB
PageTables:        64244 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4848796 kB
Committed_AS:   112229988 kB
VmallocTotal:   259653632 kB
VmallocUsed:       94300 kB
VmallocChunk:          0 kB
Percpu:             8704 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:           8192 kB
CmaFree:               0 kB
DmaHeap:          153513 kB
